

# Chip 12 13
     0   0.132376254  0.043966472  0.026697218  2.499999702  0.019024312  1.275383532  0.022206008  2.499999702
  2000   0.132389069  0.133144855  0.107046664  2.499999702  0.102444291  1.272863150  0.111897588  2.499999702
  4000   0.132395327  0.221376717  0.194920301  2.499999702  0.190534592  1.251159608  0.200592875  2.499999702
  6000   0.132391751  0.309643149  0.282207131  2.499999702  0.277821422  1.224662960  0.288190246  2.499999702
  8000   0.132387877  0.398196876  0.371103287  2.499999702  0.366984904  1.216597259  0.377988219  2.499999702
 10000   0.132381916  0.484199226  0.457157493  2.499999702  0.451819599  1.261410415  0.462908149  2.499999702
 12000   0.132374465  0.572234690  0.545017719  2.499999702  0.539888442  1.248576641  0.551459789  2.499999702
 14000   0.132361650  0.659572184  0.630519092  2.499999702  0.625307262  1.235805154  0.637117326  2.499999702
 16000   0.132363439  0.750249326  0.723676682  2.499999702  0.718966722  1.218444109  0.731472969  2.499999702
 18000   0.132360160  0.833710134  0.803397298  2.499999702  0.799195170  1.206303835  0.810498297  2.499999702
 20000   0.132358670  0.922742486  0.893063247  2.499999702  0.889103711  1.205221415  0.901070237  2.499999702
 22000   0.132369995  1.010355651  0.979224741  2.499999702  0.975314975  1.228330731  0.987594724  2.499999702
 24000   0.132370591  1.099584699  1.069376767  2.499999702  1.065756083  1.222884655  1.078619063  2.499999702
 26000   0.132372975  1.183474958  1.151541471  2.499999702  1.146575809  1.221116483  1.159432232  2.499999702
 28000   0.132378042  1.271849871  1.239993274  2.499999702  1.235235333  1.257931888  1.248693168  2.499999702
 30000   0.132383406  1.359491050  1.326188743  2.499999702  1.321403980  1.330060065  1.335138083  2.499999702
 32000   0.132373869  1.454623044  1.427781880  2.499999702  1.423958838  1.430961490  1.438525319  2.499999702
 34000   0.132363737  1.524087787  1.501449347  2.499999702  1.500288248  1.499566138  1.509664357  2.499999702
 36000   0.132365525  1.611887217  1.588708460  2.499999702  1.587584317  1.586565077  1.597634256  2.499999702
 38000   0.132374465  1.698990762  1.673961878  2.499999702  1.672737896  1.671722531  1.683176756  2.499999702
 40000   0.132372081  1.791189909  1.769482195  2.499999702  1.768822670  1.767930090  1.779934764  2.499999702
 42000   0.132377148  1.877307296  1.856106222  2.499999702  1.854374409  1.854424179  1.865684688  2.499999702
 44000   0.132385194  1.964417696  1.942272484  2.499999702  1.940655112  1.940617561  1.952288449  2.499999702
 46000   0.132383406  2.049363554  2.023416758  2.499999702  2.021558881  2.021578848  2.033317089  2.499999702
 48000   0.132386386  2.144430578  2.124452591  2.499999702  2.123398483  2.123845816  2.135889828  2.499999702
 50000   0.132386982  2.224870622  2.198818624  2.499999702  2.198233306  2.194061875  2.209337056  2.499999702
 52000   0.132387578  2.313389778  2.287340760  2.499999702  2.286834419  2.282958031  2.298666537  2.499999702
 54000   0.132396817  2.401245832  2.374176979  2.499999702  2.373803258  2.370097935  2.385698259  2.499999702
 56000   0.132405162  2.491731942  2.466461957  2.499999702  2.466456890  2.462986112  2.478914559  2.499999702
 58000   0.132410228  2.499999702  2.499999702  2.499999702  2.499999702  2.499999702  2.499999702  2.499999702
