

# Chip 3 0
     0   0.132105947  1.591204405  1.586379111 -0.002520084 -0.002115071 -0.002089739  1.528769732  2.499999702
  2000   0.132106245  1.607594192  1.584827006 -0.002487600 -0.002150536 -0.002111495  1.545694470  2.499999702
  4000   0.132104754  1.606794894  1.586199999 -0.002527237 -0.002155006 -0.002137125  1.549358368  2.499999702
  6000   0.132097006  1.608286500  1.586914659 -0.002526343 -0.002154410 -0.002110004  1.550496221  2.499999702
  8000   0.132086277  1.606877148  1.585165858 -0.002508163 -0.002149940 -0.002123713  1.550336182  2.499999702
 10000   0.132079422  1.608864665  1.587193608 -0.002523661 -0.002145767 -0.002134740  1.549194157  2.499999702
 12000   0.132069290  1.608660221  1.585471928 -0.002528727 -0.002146661 -0.002134144  1.552180946  2.499999702
 14000   0.132056177  1.607925892  1.586343944 -0.002527535 -0.002129674 -0.002114475  1.552062631  2.499999702
 16000   0.132050216  1.607838869  1.587755382 -0.002515614 -0.002157390 -0.002130568  1.551788449  2.499999702
 18000   0.132049322  1.607767045  1.587462127 -0.002492964 -0.002128184 -0.002076328  1.552560627  2.499999702
 20000   0.132051706  1.607027650  1.586105227 -0.002502203 -0.002136230 -0.002112091  1.551703215  2.499999702
 22000   0.132045448  1.608487964  1.586932242 -0.002507865 -0.002140999 -0.002124310  1.552267075  2.499999702
 24000   0.132046342  1.608102322  1.585937142 -0.002488196 -0.002112091 -0.002077520  1.552617252  2.499999702
 26000   0.132046640  1.609321237  1.586170495 -0.002455711 -0.002093315 -0.002032816  1.553613842  2.499999702
 28000   0.132052302  1.607938111  1.587543488 -0.002438426 -0.002084970 -0.002049208  1.551592946  2.499999702
 30000   0.132053196  1.607739329  1.586139202 -0.002472401 -0.002041161 -0.002052188  1.553715169  2.499999702
 32000   0.132050514  1.608096361  1.586018503 -0.002466142 -0.002071261 -0.002078414  1.553143561  2.499999702
 34000   0.132044554  1.608533561  1.586525142 -0.002476573 -0.002060533 -0.002035499  1.552520096  2.499999702
 36000   0.132051408  1.608226597  1.586773396 -0.002490282 -0.002124906 -0.002082586  1.554118097  2.499999702
 38000   0.132055879  1.608629823  1.584762335 -0.002495944 -0.002126694 -0.002094209  1.554675400  2.499999702
 40000   0.132056773  1.608068049  1.586466730 -0.002436638 -0.002066791 -0.002057850  1.552025676  2.499999702
 42000   0.132057667  1.608806849  1.584942937 -0.002435744 -0.002057552 -0.002050996  1.554677784  2.499999702
 44000   0.132061541  1.608591974  1.586486995 -0.002473593 -0.002042949 -0.002087355  1.554020941  2.499999702
 46000   0.132063925  1.607447267  1.586458087 -0.002467334 -0.002107620 -0.002034307  1.552582383  2.499999702
 48000   0.132066011  1.608598232  1.586253643 -0.002426803 -0.002022386 -0.002040267  1.554950774  2.499999702
 50000   0.132067800  1.607888043  1.586923897 -0.002413690 -0.001953840 -0.002035499  1.553808451  2.499999702
 52000   0.132067502  1.608454287  1.587386131 -0.002494454 -0.002130866 -0.002080500  1.552944183  2.499999702
 54000   0.132070184  1.607880294  1.586613357 -0.002484620 -0.002135634 -0.002083778  1.554241776  2.499999702
 56000   0.132057667  1.608096063  1.587918997 -0.002449155 -0.002103448 -0.002023280  1.553420126  2.499999702
 58000   0.132066905  1.608098149  1.587209702 -0.002439618 -0.002076328 -0.001904070  1.553995609  2.499999702
